"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"017006","Angolo Terme","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2345,"e","dato stimato"
"019003","Annicco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1953,"e","dato stimato"
"097003","Annone di Brianza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2283,"e","dato stimato"
"016010","Antegnate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3144,"e","dato stimato"
"013009","Anzano del Parco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1796,"e","dato stimato"
"016012","Ardesio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3392,"e","dato stimato"
"015009","Arese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",19201,"e","dato stimato"
"015010","Arluno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",12144,"e","dato stimato"
"013012","Arosio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5084,"e","dato stimato"
"012005","Arsago Seprio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4765,"e","dato stimato"
"017007","Artogne","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3545,"e","dato stimato"
"016013","Arzago d'Adda","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2711,"e","dato stimato"
"020002","Asola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",10010,"e","dato stimato"
"015011","Assago","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",8932,"e","dato stimato"
"013013","Asso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3567,"e","dato stimato"
"016014","Averara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",170,"e","dato stimato"
"018007","Bagnaria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",627,"e","dato stimato"
"019005","Bagnolo Cremasco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4862,"e","dato stimato"
"097004","Ballabio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4137,"e","dato stimato"
"015250","Baranzate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",11717,"e","dato stimato"
"012008","Barasso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1649,"e","dato stimato"
"017011","Barbariga","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2282,"e","dato stimato"
"016019","Barbata","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",670,"e","dato stimato"
"018008","Barbianello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",865,"e","dato stimato"
"012009","Bardello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1581,"e","dato stimato"
"015012","Bareggio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",17142,"e","dato stimato"
"017012","Barghe","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1147,"e","dato stimato"
"016020","Bariano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4216,"e","dato stimato"
"108005","Barlassina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6886,"e","dato stimato"
"013015","Barni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",564,"e","dato stimato"
"097005","Barzago","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2364,"e","dato stimato"
"016021","Barzana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2005,"e","dato stimato"
"097006","Barzano'","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4991,"e","dato stimato"
"097007","Barzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1272,"e","dato stimato"
"018009","Bascape'","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1755,"e","dato stimato"
"015014","Basiano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3663,"e","dato stimato"
"015015","Basiglio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",7904,"e","dato stimato"
"017013","Bassano Bresciano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2311,"e","dato stimato"
"018011","Bastida Pancarana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",958,"e","dato stimato"
"018012","Battuda","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",665,"e","dato stimato"
"013022","Beregazzo con Figliaro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2769,"e","dato stimato"
"018014","Bereguardo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3093,"e","dato stimato"
"017015","Berlingo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2731,"e","dato stimato"
"108007","Bernareggio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",11258,"e","dato stimato"
"015019","Bernate Ticino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3023,"e","dato stimato"
"098002","Bertonico","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1050,"e","dato stimato"
"017016","Berzo Demo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1562,"e","dato stimato"
"017017","Berzo Inferiore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2436,"e","dato stimato"
"016025","Berzo San Fermo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1393,"e","dato stimato"
"108008","Besana in Brianza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",15469,"e","dato stimato"
"012011","Besano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2519,"e","dato stimato"
"015022","Besate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2036,"e","dato stimato"
"012012","Besnate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5420,"e","dato stimato"
"012013","Besozzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",8800,"e","dato stimato"
"012014","Biandronno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3206,"e","dato stimato"
"016026","Bianzano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",589,"e","dato stimato"
"014008","Bianzone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1278,"e","dato stimato"
"108009","Biassono","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",12101,"e","dato stimato"
"017018","Bienno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3777,"e","dato stimato"
